"Index","Molecule name","ID","class","apol","ast_fraglike","ast_fraglike_ext","ast_violation","ast_violation_ext","a_acc","a_acid","a_aro","a_base","a_count","a_don","a_donacc","a_heavy","a_hyd","a_IC","a_ICM","a_nB","a_nBr","a_nC","a_nCl","a_nF","a_nH","a_nI","a_nN","a_nO","a_nP","a_nS","balabanJ","BCUT_PEOE_0","BCUT_PEOE_1","BCUT_PEOE_2","BCUT_PEOE_3","BCUT_SLOGP_0","BCUT_SLOGP_1","BCUT_SLOGP_2","BCUT_SLOGP_3","BCUT_SMR_0","BCUT_SMR_1","BCUT_SMR_2","BCUT_SMR_3","bpol","b_1rotN","b_1rotR","b_ar","b_count","b_double","b_heavy","b_max1len","b_rotN","b_rotR","b_single","b_triple","chi0","chi0v","chi0v_C","chi0_C","chi1","chi1v","chi1v_C","chi1_C","chiral","chiral_u","density","diameter","FCharge","GCUT_PEOE_0","GCUT_PEOE_1","GCUT_PEOE_2","GCUT_PEOE_3","GCUT_SLOGP_0","GCUT_SLOGP_1","GCUT_SLOGP_2","GCUT_SLOGP_3","GCUT_SMR_0","GCUT_SMR_1","GCUT_SMR_2","GCUT_SMR_3","Kier1","Kier2","Kier3","KierA1","KierA2","KierA3","KierFlex","lip_acc","lip_don","lip_druglike","lip_violation","logP(o/w)","logS","mr","mutagenic","nmol","opr_brigid","opr_leadlike","opr_nring","opr_nrot","opr_violation","PC+","PC-","PEOE_PC+","PEOE_PC-","PEOE_RPC+","PEOE_RPC-","PEOE_VSA+0","PEOE_VSA+1","PEOE_VSA+2","PEOE_VSA+3","PEOE_VSA+4","PEOE_VSA+5","PEOE_VSA+6","PEOE_VSA-0","PEOE_VSA-1","PEOE_VSA-2","PEOE_VSA-3","PEOE_VSA-4","PEOE_VSA-5","PEOE_VSA-6","PEOE_VSA_FHYD","PEOE_VSA_FNEG","PEOE_VSA_FPNEG","PEOE_VSA_FPOL","PEOE_VSA_FPOS","PEOE_VSA_FPPOS","PEOE_VSA_HYD","PEOE_VSA_NEG","PEOE_VSA_PNEG","PEOE_VSA_POL","PEOE_VSA_POS","PEOE_VSA_PPOS","petitjean","petitjeanSC","Q_PC+","Q_PC-","Q_RPC+","Q_RPC-","Q_VSA_FHYD","Q_VSA_FNEG","Q_VSA_FPNEG","Q_VSA_FPOL","Q_VSA_FPOS","Q_VSA_FPPOS","Q_VSA_HYD","Q_VSA_NEG","Q_VSA_PNEG","Q_VSA_POL","Q_VSA_POS","Q_VSA_PPOS","radius","reactive","rings","RPC+","RPC-","rsynth","SlogP","SlogP_VSA0","SlogP_VSA1","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","SlogP_VSA9","SMR","SMR_VSA0","SMR_VSA1","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","TPSA","VAdjEq","VAdjMa","VDistEq","VDistMa","vdw_area","vdw_vol","vsa_acc","vsa_acid","vsa_base","vsa_don","vsa_hyd","vsa_other","vsa_pol","Weight","weinerPath","weinerPol","zagreb"
1,"N(NC)C",1502116,0,11.054344,1,1,0,0,2,0,0,0,12,2,4,4,2,15.01955,1.2516291,0,0,2,0,0,8,0,2,0,0,0,1.9747449,-2.4498186,-0.15082805,0.23260154,2.2765512,-2.7284122,-0.12605855,0.28618133,2.0982821,-2.146383,-0.07608749,0.30044228,2.5618057,8.745656,1,0.33333334,0,11,0,3,3,1,0.33333334,11,0,3.4142137,3.0,2.0,2.0,1.9142135,1.25,0.0,0.0,0,0,0.75367755,3,0,-0.88007396,-0.2126983,-0.035842046,1.6856902,-1.2815539,-0.20721659,0.036616001,1.5708801,-0.50675792,-0.11418112,0.016075017,1.9211271,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2,2,1,0,-0.31400001,1.1267999,1.7474537,0,1,0,1,0,1,0,0,0,0.25949752,-0.25949752,0.5,0.5,0.0,0.0,67.79892,0.0,0.0,0.0,0.0,0.0,0.0,18.842079,0.0,0.0,0.0,0.0,1.0,0.21747302,0.0,0.0,0.78252697,0.0,86.640999,18.842079,0.0,0.0,67.79892,0.0,0.33333334,0.5,0,0,0,0,1,0,0,0,1,0,86.640999,0,0,0,86.640999,0,2,1,0,0,0,1.0,-0.65979999,35.776459,0.0,0.0,0.0,0.0,65.794373,0.0,0.0,0.0,0.0,1.81194,0.0,0.0,35.776459,0.0,0.0,0.0,0.0,65.794373,24.059999,0.95443398,2.5849626,1.4591479,3.4464393,86.640999,69.042786,0.0,0.0,0.0,0.0,67.79892,0.0,18.842079,60.099998,10,1,10
2,"O1[C@H]([C@@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@H](CC1=O)C(C)(C)C(=O)[C@@H]1O[C@@H]12)C)C)C)c1ccoc1",100368,0,71.377792,0,0,3,3,5,0,5,0,63,0,5,33,21,87.499001,1.388873,0,0,26,0,0,30,0,0,7,0,0,1.35434,-2.9328856,-0.37325868,0.18910137,3.0677137,-2.9459939,-0.26083568,0.23238763,3.0324981,-2.7050419,-0.11409555,0.32003102,3.2883554,43.334209,1,0.025641026,5,69,3,39,2,1,0.025641026,61,0,23.34457,19.675211,16.817472,17.516144,15.45305,12.089206,9.6543713,10.326204,10,0,0.85259038,12,0,-0.85038698,-0.38408172,-0.083195634,3.4917614,-0.89790881,-0.28927177,-0.026547628,3.5016904,-0.53270119,-0.17303334,0.019882608,3.7039087,22.216963,6.2759185,2.0683711,19.415916,5.460567,1.7938987,3.212785,7,0,1,0,2.22,-4.75776,11.582894,1,1,30,0,7,1,2,0,0,2.2874148,-2.2874148,0.13197207,0.19567424,201.09335,15.808495,8.458519,77.951027,8.458519,0.0,14.708499,0.0,0.0,0.0,0.0,0.0,43.204517,7.5112681,0.80412531,0.13445537,0.13445537,0.19587472,0.86554462,0.061419342,303.3114,50.715786,50.715786,73.882805,326.47842,23.167019,0.5,1.0,0,0,0,0,1,0,0,0,1,0,377.19418,0,0,0,377.19418,0,6,1,7,0,0,0.15151516,3.5048001,0.0,19.120686,123.99226,0.0,12.007167,9.5073462,0.0,57.456043,63.073864,166.63008,11.2864,114.09366,0.0,8.8215923,29.060171,0.0,114.06126,19.120686,166.63008,98.639999,0.37196004,6.2854023,3.2516549,9.8450241,377.19418,497.63519,45.708275,0.0,0.0,0.0,250.73592,80.75,45.708275,454.51898,2513,85,218
3,"O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@@H](C[C@H]1O)C(C)(C)C(=O)[C@@H]1O[C@@H]12)C)C)C)c1ccoc1",100223,1,72.711372,0,0,3,3,5,0,5,0,65,1,6,33,22,89.590988,1.378323,0,0,26,0,0,32,0,0,7,0,0,1.3540363,-2.9672768,-0.45630634,0.34360585,3.0772724,-2.976223,-0.42299521,0.3462809,3.0490499,-2.7378933,-0.28302529,0.45431325,3.2987916,44.562626,1,0.025641026,5,71,2,39,2,1,0.025641026,64,0,23.34457,19.791527,16.894823,17.516144,15.45305,12.23665,9.7477417,10.326204,11,0,0.85259038,12,0,-0.85039014,-0.38912481,-0.032565903,3.5424139,-0.89809859,-0.28890476,-0.018564135,3.5568922,-0.53463322,-0.20202051,0.061632842,3.751929,22.216963,6.2759185,2.0683711,19.986818,5.6265526,1.849727,3.4077847,7,1,1,0,2.8310001,-4.8635702,11.628479,1,1,30,0,7,1,2,0,0,2.2148218,-2.2148218,0.13629228,0.20208764,216.90184,0.0,8.458519,77.951027,8.458519,0.0,14.708499,0.0,0.0,0.0,0.0,13.566921,29.637598,7.5112681,0.80412531,0.13445537,0.13445537,0.19587472,0.86554462,0.061419342,303.3114,50.715786,50.715786,73.882805,326.47842,23.167019,0.5,1.0,0,0,0,0,1,0,0,0,1,0,377.19418,0,0,0,377.19418,0,6,1,7,0,0,0.15151516,3.2966001,25.385227,13.433075,106.59869,0.0,12.007167,9.5073462,0.0,57.456043,63.073864,166.63008,11.38638,90.231445,25.385227,8.8215923,35.52882,0.0,114.06126,13.433075,166.63008,101.8,0.37196004,6.2854023,3.2516549,9.8450241,377.19418,497.63519,32.141354,0.0,0.0,0.0,259.19443,72.291481,45.708275,456.535,2513,85,218
4,"O(C)c1cc(OC)cc(OC)c1",231043,0,26.247517,1,1,0,0,3,0,6,0,24,0,3,12,9,33.735336,1.4056391,0,0,9,0,0,12,0,0,3,0,0,2.4361498,-2.3060856,-0.55739677,0.43253434,2.2575088,-2.2829306,-0.5211525,0.55108207,2.4473143,-2.020555,-0.31601596,0.64800978,2.5463955,18.866484,3,0.25,6,24,0,12,1,3,0.25,18,0,8.9746914,7.4567957,6.2320509,6.8533711,5.7955551,3.5691681,1.7320508,2.4494898,0,0,0.78546202,6,0,-0.79197949,-0.45289457,-0.058718443,2.1493142,-0.89022559,-0.39558226,0.10625187,2.3301702,-0.4870806,-0.19582979,0.1100665,2.423481,10.083333,4.8888888,2.7777777,8.1382713,3.8612704,2.1566947,2.6186721,3,0,1,0,1.885,-1.53602,4.6682949,0,1,6,1,1,3,0,0,0,0.9826588,-0.9826588,0.1843456,0.33333334,47.425484,25.375559,0.0,106.97529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5112681,0.95989448,0.040105529,0.040105529,0.040105529,0.95989448,0.0,179.77634,7.5112681,7.5112681,7.5112681,179.77634,0.0,0.33333334,0.5,0,0,0,0,1,0,0,0,1,0,187.2876,0,0,0,187.2876,0,4,0,1,0,0,1.0,1.7124,32.999664,0.0,0.0,0.0,0.0,106.1516,0.0,52.929554,0.0,15.730285,4.6097999,0.0,32.999664,0.0,15.730285,0.0,52.929554,0.0,106.1516,27.690001,0.65002245,4.5849624,2.4606059,6.8700666,187.2876,198.73143,7.5112681,0.0,0.0,0.0,179.77634,0.0,7.5112681,168.192,198,15,54
5,"O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@]1([C@H](CC2)[C@]2([C@@H](CC1=O)C(C)(C)[C@H](O)C[C@@H]2O)C)C)C)c1ccoc1",100355,1,74.04496,0,0,3,3,5,0,5,0,67,2,7,33,22,91.591324,1.3670347,0,0,26,0,0,34,0,0,7,0,0,1.4734185,-2.9756107,-0.5212338,0.44759685,3.0555224,-2.9823492,-0.56157416,0.42134953,3.0316401,-2.741838,-0.42631495,0.5703426,3.2765408,44.833038,1,0.02631579,5,72,2,38,2,1,0.02631579,65,0,23.76722,19.960249,17.02458,17.645901,15.363733,12.163239,9.8875351,10.476034,10,0,0.84509528,12,0,-0.85038787,-0.37028995,0.0014146164,3.5425203,-0.89745516,-0.29442191,-0.0094923656,3.561918,-0.53861612,-0.2332205,0.10599504,3.7541175,23.401663,6.8505235,2.3801653,21.052599,6.1417041,2.128562,3.9181461,7,2,1,0,2.5380001,-4.2514701,11.814516,1,1,28,0,6,1,2,0,0,2.0941973,-2.0941973,0.14414825,0.21372777,201.09335,31.616989,0.0,77.951027,8.458519,0.0,14.708499,0.0,0.0,0.0,0.0,27.133842,29.637598,5.0075121,0.78527707,0.15616231,0.15616231,0.21472295,0.84383768,0.05856064,310.66138,61.778954,61.778954,84.945969,333.8284,23.167019,0.5,1.0,0,0,0,0,1,0,0,0,1,0,395.60733,0,0,0,395.60733,0,6,1,6,0,0,0.15151516,3.2802,50.770454,13.433075,89.130157,0.0,12.007167,9.5073462,0.0,57.456043,81.942268,166.63008,11.58266,79.231552,50.770454,8.8215923,29.060171,0.0,132.92967,13.433075,166.63008,109.5,0.36513498,6.2479277,3.2500865,9.8469706,395.60733,502.04871,29.637598,0.0,0.0,0.0,266.5444,72.291481,56.771439,458.55099,2519,84,210
6,"O1[C@@H]([C@]2(C(=CC1=O)[C@@]1([C@H](CC2)[C@]2([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@H](O)C[C@@H]2O)C)C)C)c1ccoc1",212126,1,80.232132,0,0,3,3,4,0,5,0,73,2,6,35,24,98.178528,1.3449113,0,0,28,0,0,38,0,0,7,0,0,1.6197745,-2.9977512,-0.48666343,0.50478953,2.9868727,-2.9821773,-0.41545919,0.50390768,3.0208733,-2.7560329,-0.3202171,0.65510434,3.2283709,49.205868,2,0.051282052,5,77,3,39,2,3,0.07692308,69,0,25.551678,21.537598,18.601931,19.430357,16.267616,12.756608,10.480905,11.325223,9,0,0.81941622,12,0,-0.85038579,-0.37113476,-0.016384983,3.5673294,-0.88876164,-0.29450092,-0.0093993926,3.6186299,-0.5386619,-0.20337772,0.12158524,3.7878013,26.60092,8.7635508,3.7002869,23.519951,7.7193542,3.2505052,5.1873951,7,2,1,0,3.6559999,-4.5595798,12.915406,0,1,26,0,5,2,2,0,0,2.051559,-2.051559,0.14404394,0.21816969,216.90184,31.616989,37.86697,69.492508,0.0,29.416998,0.0,2.2085397,0.0,0.0,0.0,27.133842,29.637598,5.0075121,0.79701883,0.14242141,0.13750571,0.20298117,0.85757858,0.065475464,358.08685,63.987492,61.778954,91.195953,385.29532,29.416998,0.5,1.0,0,0,0,0,1,0,0,0,1,0,449.28281,0,0,0,449.28281,0,6,0,5,0,0,0.42857143,4.4316001,50.770454,15.490929,89.130157,0.0,12.007167,12.692922,0.0,75.099228,81.942268,199.95609,12.68526,79.231552,50.770454,8.8215923,32.245747,0.0,150.57285,15.490929,199.95609,106.2,0.34185782,6.2854023,3.2846446,10.031711,449.28281,547.09802,27.133842,0.0,0.0,0.0,313.96991,81.045219,54.267685,486.60498,2991,80,208
7,"O=C1N(CCC)C(=O)N(c2[nH]c(nc12)C1CCCC1)CCC",2300063,0,50.16703,0,0,3,4,4,0,5,0,46,2,6,22,12,70.044746,1.522712,0,0,16,0,0,24,0,4,2,0,0,1.7689385,-2.5987952,-0.44439539,0.4632161,2.7334309,-2.6928914,-0.37177265,0.54059482,2.8822494,-2.329478,-0.195603,0.67564702,2.9835229,34.092968,5,0.20833333,5,48,2,24,3,5,0.20833333,41,0,15.68987,13.392342,10.734204,11.120955,10.668234,8.4017296,5.5193853,5.73071,0,0,0.80213219,10,0,-0.82325143,-0.39375019,-0.019396299,2.7604895,-1.0015353,-0.27682009,0.069142856,2.8020432,-0.53139472,-0.16362943,0.15345512,3.0099151,16.84375,7.2664361,3.1653478,13.18799,5.6182227,2.4251094,3.3678665,6,1,1,0,2.3180001,-3.1765101,8.4456625,0,1,15,1,3,6,0,0,0,1.4580443,-1.4580443,0.22969219,0.18180802,153.66786,2.2085397,51.789574,17.890114,0.0,12.949531,17.440542,0.0,0.0,0.0,0.0,24.932074,13.566921,0.0,0.7660377,0.13075098,0.13075098,0.2339623,0.86924905,0.10321132,225.55609,38.498993,38.498993,68.889069,255.94617,30.390074,0.5,1.0,0,0,0,0,1,0,0,0,1,0,294.44516,0,0,0,294.44516,0,5,0,3,0,0,1.0,3.2695,3.1243138,29.998583,16.78553,36.879158,28.946884,0.0,4.4107962,0.0,113.21043,92.842163,8.41572,47.724434,19.909843,19.909843,9.4954634,2.3279202,113.21043,46.967896,66.652031,69.300003,0.46637034,5.5849624,3.0745595,8.6533871,294.44516,349.32147,27.133842,0.0,0.0,0.0,203.17497,52.771198,38.498993,304.39398,985,36,116
8,"Oc1c2c(C(=O)c3c(C2=O)c(O)cc(C)c3O)c(O)cc1C",211473,0,40.973515,0,0,3,4,6,0,12,0,34,4,10,22,14,50.444412,1.4836591,0,0,16,0,0,12,0,0,6,0,0,1.9976921,-2.3385165,-0.47559273,0.58233255,2.4160914,-2.2728148,-0.41293406,0.46303135,2.5214906,-2.0478172,-0.26724085,0.71878266,2.7135081,15.034484,0,0.0,12,36,2,24,1,0,0.0,22,0,16.342417,11.760052,9.1547003,10.342417,10.251796,6.457376,5.1547008,6.7876935,0,0,0.89234954,9,0,-0.76189691,-0.4870497,0.093933925,2.5667043,-0.78868437,-0.28855121,0.031107422,2.6819808,-0.47904193,-0.20025168,0.22053555,2.8534846,16.84375,5.8171744,2.4234693,12.225904,4.1524405,1.7090538,2.3076062,6,4,1,0,2.3900001,-2.7581401,7.5332279,0,1,16,1,3,0,0,0,0,1.3329302,-1.3329302,0.14993714,0.21488692,94.850967,8.8341589,33.834076,16.917038,0.0,0.0,0.0,0.0,0.0,0.0,54.267685,0.0,27.133842,0.0,0.884947,0.34515899,0.115053,0.115053,0.65484101,0.0,208.70393,81.401527,27.133842,27.133842,154.43625,0.0,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,235.83777,0,0,0,235.83777,0,5,1,3,0,0,0.0,1.90124,101.54091,11.375222,0.0,0.0,66.837883,0.0,0.0,35.286369,0.0,87.62574,7.5882201,47.724434,101.54091,0.0,40.087162,0.0,35.286369,11.375222,66.652031,115.06,0.46637034,5.5849624,2.8147566,8.6830816,235.83777,322.93399,27.133842,0.0,0.0,0.0,137.51921,16.917038,81.401527,300.26599,871,47,124
9,"O1[C@H]([C@@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@@H](CC1=O)C(C)(C)[C@H](O)CC2=O)C)C)C)c1ccoc1",100358,1,72.711372,0,0,3,3,5,0,5,0,65,1,6,33,21,89.590988,1.378323,0,0,26,0,0,32,0,0,7,0,0,1.4736632,-2.944169,-0.45008963,0.31779292,3.0509441,-2.9562111,-0.40909398,0.32681301,3.0208402,-2.7132032,-0.26152271,0.44446996,3.2704093,43.604626,1,0.02631579,5,70,3,38,2,1,0.02631579,62,0,23.76722,19.843933,16.947229,17.645901,15.363733,12.015794,9.7941647,10.476034,9,0,0.84509528,12,0,-0.85038704,-0.39697176,-0.040138006,3.4993,-0.89718938,-0.29127437,-0.0179065,3.5147674,-0.53772074,-0.20334516,0.062941894,3.7131448,23.401663,6.8505235,2.3801653,20.451252,5.9605207,2.0643177,3.6939428,7,1,1,0,1.927,-4.1456599,11.770362,1,1,28,0,6,1,2,0,0,2.1667521,-2.1667521,0.13932136,0.20657098,201.09335,31.616989,0.0,77.951027,8.458519,0.0,14.708499,0.0,0.0,0.0,0.0,13.566921,43.204517,5.0075121,0.78527707,0.15616231,0.15616231,0.21472295,0.84383768,0.05856064,310.66138,61.778954,61.778954,84.945969,333.8284,23.167019,0.5,1.0,0,0,0,0,1,0,0,0,1,0,395.60733,0,0,0,395.60733,0,6,1,6,0,0,0.15151516,3.4884,25.385227,19.120686,106.52372,0.0,12.007167,9.5073462,0.0,57.456043,81.942268,166.63008,11.48268,103.09377,25.385227,8.8215923,22.591522,0.0,132.92967,19.120686,166.63008,106.34,0.36513498,6.2479277,3.2500865,9.8469706,395.60733,502.04871,43.204517,0.0,0.0,0.0,258.08591,80.75,56.771439,456.535,2519,84,210
10,"O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@@]1([C@H](CC2)[C@@]2([C@@H](CC1=O)C(C)(C)[C@H](OC(=O)C)CC2=O)C)C)C)c1ccoc1",100585,0,78.366959,0,0,3,3,5,0,5,0,70,0,5,36,22,97.470139,1.3924305,0,0,28,0,0,34,0,0,8,0,0,1.4287218,-2.9436777,-0.23207812,0.060095537,3.0512984,-2.9554513,-0.091294184,0.13795525,3.0212736,-2.7133229,0.051280297,0.19480346,3.2706895,48.665039,2,0.048780486,5,75,4,41,2,3,0.073170729,66,0,26.051678,21.713215,18.447229,19.223249,16.75758,12.901546,10.294165,11.053385,9,0,0.84454256,14,0,-0.85038733,-0.39181644,-0.12326298,3.5252261,-0.89717835,-0.29406339,-0.037,3.5409036,-0.53702134,-0.14634585,-0.023260476,3.739218,26.234385,8.026185,2.9353647,22.586021,6.8791323,2.5079801,4.3158956,8,0,1,0,2.516,-4.76373,12.809273,1,1,28,0,6,2,2,0,0,2.5117264,-2.5117264,0.1201862,0.1781994,201.09335,31.616989,37.86697,69.492508,8.458519,14.708499,14.708499,0.0,0.0,0.0,0.0,0.0,56.771439,7.5112681,0.76899195,0.14536099,0.14536099,0.23100802,0.85463899,0.085647032,340.06982,64.282707,64.282707,102.15823,377.94534,37.875519,0.5,1.0,0,0,0,0,1,0,0,0,1,0,442.22803,0,0,0,442.22803,0,7,1,6,0,0,0.22222222,4.0591998,0.0,26.86615,141.38583,0.0,12.007167,9.5073462,0.0,57.456043,81.942268,199.95609,12.4374,137.95587,0.0,8.8215923,22.591522,0.0,132.92967,26.86615,199.95609,112.41,0.34029734,6.3575521,3.4458821,10.082733,442.22803,549.76501,56.771439,0.0,0.0,0.0,287.49435,97.962257,56.771439,498.57199,3318,88,224
11,"O=C([O-])C1([NH3+])CCC1",1502131,0,17.505136,1,1,0,0,0,2,0,1,17,0,0,8,4,27.347902,1.6087002,0,0,5,0,0,9,0,1,2,0,0,2.4292879,-2.7900722,-0.36995983,0.34566879,2.8176224,-3.3422892,-0.40769133,0.2142,2.7957039,-2.5815749,0.032090001,0.12720539,3.0265734,10.434863,1,0.125,0,17,1,8,2,1,0.125,16,0,6.1986704,4.6449237,3.1213202,3.1986706,3.6504824,2.7189085,1.9571068,1.9957819,0,0,0.90920079,4,0,-0.85078406,-0.40846011,0.18566878,2.2541635,-2.2349093,-0.37116948,0.054200001,2.1818323,-0.64143592,-0.13175824,-0.054299999,2.4352195,6.125,1.75,0.91836733,5.4008284,1.5116875,0.77909696,1.0205456,3,3,1,0,0.161,-0.26795,2.8730061,0,1,4,1,1,1,0,0,0,1.0865061,-1.0865061,0.40311828,0.5,15.808495,31.616989,14.708499,0.0,0.0,0.0,17.742489,0.0,0.0,0.0,0.0,0.0,0.0,27.133842,0.58063549,0.25356287,0.25356287,0.41936454,0.74643713,0.16580167,62.133984,27.133842,27.133842,44.876331,79.876472,17.742489,0.5,1.0,0,0,0,0,1,0,0,0,1,0,107.01031,0,0,0,107.01031,0,2,0,1,0,0,0.0,-2.0991001,75.580528,1.4640081,23.862217,0.0,0.0,0.0,0.0,0.0,56.605217,0.0,2.44771,66.545563,0.0,32.897186,0.0,0.0,56.605217,1.4640081,0.0,67.769997,0.8112781,4.0,1.8352377,5.6729054,107.01031,116.65189,27.133842,27.133842,17.742489,17.742489,47.425484,14.708499,44.876331,115.132,60,8,40
12,"O=C1N(C)C(=O)Nc2nc[nH]c12",2300329,0,20.564758,0,0,1,1,4,0,5,0,18,3,7,12,2,34.039101,1.8910611,0,0,6,0,0,6,0,4,2,0,0,2.1306496,-2.3864071,-0.47380674,0.57938653,2.4256239,-2.5743902,-0.42678025,0.66907644,2.2988734,-2.0939441,-0.31365198,0.72979486,2.7158329,13.095242,0,0.0,5,19,2,13,1,0,0.0,12,0,8.7151785,6.2882738,3.5773504,4.0165076,5.6983771,3.3231564,0.5,0.66666669,0,0,0.94454104,5,0,-0.82479548,-0.44806114,0.12006918,2.1649716,-1.0078572,-0.35930815,0.21148269,2.1106126,-0.481803,-0.19681215,0.21674119,2.4371827,8.5917158,3.0470915,1.3313609,5.3207998,1.7933475,0.75239742,0.79517019,6,2,1,0,-1.3559999,-0.90030998,3.9296126,0,1,10,1,2,0,0,0,0,1.3436654,-1.3436654,0.2633844,0.19728258,0.0,0.0,33.89946,17.890114,24.790518,12.949531,17.440542,0.0,0.0,0.0,5.6825762,24.932074,13.566921,0.0,0.38022819,0.29229945,0.25470427,0.61977184,0.70770055,0.36506754,57.472153,44.181568,38.498993,93.679588,106.97017,55.180592,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,151.15173,0,0,0,151.15173,0,3,0,2,0,0,1.0,0.0272,0.0,48.009335,16.78553,0.0,26.618963,32.897186,0.0,16.78553,0.0,26.190136,3.96999,47.724434,19.909843,16.78553,2.7567475,20.338671,16.78553,10.088739,32.897186,78.089996,0.68129086,4.7004399,2.1823556,6.8969026,151.15173,169.49184,27.133842,0.0,0.0,5.6825762,40.59901,66.371155,44.181568,166.14,173,18,64
13,"N(C(NC(N)=N)=N)c1ccccc1",1503641,0,26.914722,0,0,1,3,2,0,6,0,24,5,7,13,6,36.375713,1.5156547,0,0,8,0,0,11,0,5,0,0,0,2.1623528,-2.3372288,-0.77966255,0.79366738,2.2193425,-2.6554878,-0.6600737,0.86207026,2.3290596,-1.9515162,-0.60473919,0.9498539,2.5956876,12.685277,1,0.07692308,6,24,2,13,0,4,0.30769232,16,0,9.681798,6.9641018,4.3867512,5.2675848,6.1815405,3.6993587,1.9106836,2.8164966,0,0,0.82001334,8,0,-0.82967675,-0.45700437,0.14021201,2.1014745,-1.3710016,-0.31323019,0.20476218,2.1898904,-0.4298386,-0.24518229,0.25602344,2.4254019,11.076923,5.671875,4.6875,6.7193871,3.2775395,2.5974841,1.6940813,5,6,1,1,1.452,-2.1642301,4.9296288,0,1,6,1,1,4,1,0,0,0.6903705,-0.6903705,0.42169324,0.30231237,79.042473,6.6995511,0.0,0.0,0.0,31.363148,0.0,0.0,0.0,53.22747,5.6825762,5.6825762,0.0,0.0,0.79611349,0.3554948,0.031274877,0.20388648,0.6445052,0.17261161,144.65207,64.592621,5.6825762,37.045723,117.10517,31.363148,0.5,1.0,0,0,0,0,1,0,0,0,1,0,181.6978,0,0,0,181.6978,0,4,0,1,0,0,1.0,0.51634002,50.90794,21.808937,0.0,0.0,0.0,0.0,0.0,151.55986,0.0,2.7567475,5.2841201,0.0,0.0,81.354683,0.0,53.664684,88.215919,3.7981856,0.0,97.779999,0.6193822,4.7004399,2.8319414,7.0627422,181.6978,202.58572,0.0,0.0,0.0,29.107641,85.742027,31.363148,64.592621,177.211,276,13,58
14,"O=C1[C@H]2[C@@](CC[C@H]3[C@@]2(CC[C@H](OC(=O)C)C3(C)C)C)(C)[C@@]2(CC[C@@]3([C@H](C2=C1)[C@@H](C)[C@@H](CC3)C)C(O)=O)C",307045,1,92.336067,0,0,3,3,4,0,0,0,85,2,6,37,29,105.11039,1.2365928,0,0,32,0,0,48,0,0,5,0,0,1.5470779,-3.0067043,-0.21267304,0.033023108,2.9850676,-2.9504712,-0.081803679,0.123,3.0500183,-2.756566,0.052743964,0.19005609,3.2368848,57.263935,2,0.048780486,0,89,4,41,2,3,0.073170729,85,0,27.34457,24.278513,22.198307,22.637465,17.05969,14.726436,13.45063,13.933794,10,0,0.77405983,14,0,-0.80235201,-0.35885134,-0.12697689,3.6937408,-0.8848052,-0.27179918,-0.037,3.7657599,-0.54253203,-0.13557297,-0.044838071,3.9185276,28.525877,9.0,3.7038093,25.879541,8.1422186,3.3440497,5.6950512,5,1,0,2,6.1409998,-8.1155996,14.334633,0,1,26,0,5,2,3,0,0,1.3122418,-1.3122418,0.22921416,0.23157468,356.96976,2.2085397,37.86697,8.458519,0.0,14.708499,14.708499,2.2085397,0.0,13.566921,0.0,0.0,40.700764,2.503756,0.85296333,0.11941666,0.087476112,0.14703666,0.88058335,0.059560545,421.27924,58.97998,43.204517,72.621521,434.92078,29.416998,0.5,1.0,0,0,0,0,1,0,0,0,1,0,493.90076,0,0,0,493.90076,0,7,1,5,0,0,0.081081077,6.8393002,0.0,21.178539,89.055183,25.385227,22.05398,3.185575,0.0,17.643185,150.94725,266.60812,14.25488,82.58654,0.0,47.439205,9.6542244,0.0,168.59042,21.178539,266.60812,80.669998,0.32703882,6.3575521,3.5250602,10.152257,493.90076,599.88513,27.133842,0.0,0.0,0.0,399.25381,40.379272,54.267685,512.73102,3672,91,222
