"Index","Molecule name","ID","class","apol","ast_fraglike","ast_fraglike_ext","ast_violation","ast_violation_ext","a_acc","a_acid","a_aro","a_base","a_count","a_don","a_donacc","a_heavy","a_hyd","a_IC","a_ICM","a_nB","a_nBr","a_nC","a_nCl","a_nF","a_nH","a_nI","a_nN","a_nO","a_nP","a_nS","balabanJ","BCUT_PEOE_0","BCUT_PEOE_1","BCUT_PEOE_2","BCUT_PEOE_3","BCUT_SLOGP_0","BCUT_SLOGP_1","BCUT_SLOGP_2","BCUT_SLOGP_3","BCUT_SMR_0","BCUT_SMR_1","BCUT_SMR_2","BCUT_SMR_3","bpol","b_1rotN","b_1rotR","b_ar","b_count","b_double","b_heavy","b_max1len","b_rotN","b_rotR","b_single","b_triple","chi0","chi0v","chi0v_C","chi0_C","chi1","chi1v","chi1v_C","chi1_C","chiral","chiral_u","density","diameter","FCharge","GCUT_PEOE_0","GCUT_PEOE_1","GCUT_PEOE_2","GCUT_PEOE_3","GCUT_SLOGP_0","GCUT_SLOGP_1","GCUT_SLOGP_2","GCUT_SLOGP_3","GCUT_SMR_0","GCUT_SMR_1","GCUT_SMR_2","GCUT_SMR_3","Kier1","Kier2","Kier3","KierA1","KierA2","KierA3","KierFlex","lip_acc","lip_don","lip_druglike","lip_violation","logP(o/w)","logS","mr","mutagenic","nmol","opr_brigid","opr_leadlike","opr_nring","opr_nrot","opr_violation","PC+","PC-","PEOE_PC+","PEOE_PC-","PEOE_RPC+","PEOE_RPC-","PEOE_VSA+0","PEOE_VSA+1","PEOE_VSA+2","PEOE_VSA+3","PEOE_VSA+4","PEOE_VSA+5","PEOE_VSA+6","PEOE_VSA-0","PEOE_VSA-1","PEOE_VSA-2","PEOE_VSA-3","PEOE_VSA-4","PEOE_VSA-5","PEOE_VSA-6","PEOE_VSA_FHYD","PEOE_VSA_FNEG","PEOE_VSA_FPNEG","PEOE_VSA_FPOL","PEOE_VSA_FPOS","PEOE_VSA_FPPOS","PEOE_VSA_HYD","PEOE_VSA_NEG","PEOE_VSA_PNEG","PEOE_VSA_POL","PEOE_VSA_POS","PEOE_VSA_PPOS","petitjean","petitjeanSC","Q_PC+","Q_PC-","Q_RPC+","Q_RPC-","Q_VSA_FHYD","Q_VSA_FNEG","Q_VSA_FPNEG","Q_VSA_FPOL","Q_VSA_FPOS","Q_VSA_FPPOS","Q_VSA_HYD","Q_VSA_NEG","Q_VSA_PNEG","Q_VSA_POL","Q_VSA_POS","Q_VSA_PPOS","radius","reactive","rings","RPC+","RPC-","rsynth","SlogP","SlogP_VSA0","SlogP_VSA1","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","SlogP_VSA9","SMR","SMR_VSA0","SMR_VSA1","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","TPSA","VAdjEq","VAdjMa","VDistEq","VDistMa","vdw_area","vdw_vol","vsa_acc","vsa_acid","vsa_base","vsa_don","vsa_hyd","vsa_other","vsa_pol","Weight","weinerPath","weinerPol","zagreb"
1,"NCCN","HT2306",0,11.054344,1,1,0,0,2,0,0,0,12,2,4,4,2,15.01955,1.2516291,0,0,2,0,0,8,0,2,0,0,0,1.9747449,-2.4956565,-0.23638114,0.36171383,2.3966014,-2.7921665,-0.19440025,0.42271596,2.2065239,-2.2181609,-0.16199611,0.39201471,2.6616845,7.4256558,1,0.33333334,0,11,0,3,5,1,0.33333334,11,0,3.4142137,2.5689142,1.4142135,1.4142135,1.9142135,1.3164966,0.5,0.5,0,0,0.65257192,3,0,-0.84237975,-0.22351024,0.037276167,1.7676878,-1.3658445,-0.19558221,0.11762886,1.6380869,-0.50897694,-0.13577752,0.058309585,1.9945105,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2,4,1,0,-1.5420001,1.02674,1.7117417,0,1,0,1,0,1,0,0,0,0.65756994,-0.65756994,0.17984118,0.5,43.446194,0.0,34.476051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.302238,0.85418129,0.14581874,0.14581874,0.14581874,0.85418129,0.0,77.922249,13.302238,13.302238,13.302238,77.922249,0.0,0.33333334,0.5,0,0,0,0,1,0,0,0,1,0,91.224487,0,0,0,91.224487,0,2,0,0,0,0,1.0,-1.0962,65.794373,0.0,0.0,36.879158,0.0,0.0,0.0,0.0,0.0,0.0,1.8108799,0.0,0.0,0.0,0.0,65.794373,0.0,36.879158,0.0,52.040001,0.95443398,2.5849626,1.4591479,3.4464393,91.224487,92.09713,0.0,0,0,0.0,40.59901,0.0,35.484978,60.099998,10,1,10
2,"[nH]1ncnc1","HT2318",0,8.8203793,1,1,0,0,3,0,5,0,8,2,5,5,0,12.490225,1.5612781,0,0,2,0,0,3,0,3,0,0,0,2.2340245,-1.8296674,-0.4755829,0.63709491,1.9376781,-1.8691298,-0.49364063,0.61701429,1.9188306,-1.533924,-0.3384864,0.81814432,2.2111561,5.2596211,0,0.0,5,8,0,5,1,0,0.0,3,0,3.5355339,2.5491278,1.1547005,1.4142135,2.5,1.2868786,0.0,0.0,0,0,0.82976085,2,0,-0.81947559,-0.33562565,0.13500881,1.5244364,-0.89519155,-0.36986566,0.13717549,1.504236,-0.45241767,-0.18150151,0.26286906,1.7853011,3.2,1.4400001,0.63999999,1.7652466,0.64249867,0.19546668,0.22683373,3,1,1,0,-0.60900003,0.016620001,1.7939625,0,1,5,1,1,0,0,0,0,0.64966911,-0.64966911,0.2924059,0.40864095,0.0,0.0,51.004627,8.6190128,0.0,0.0,0.0,0.0,0.0,0.0,9.4210396,5.6825762,3.8753545,0.0,0.87840188,0.24145471,0.12159813,0.12159813,0.75854528,0.0,69.044678,18.97897,9.5579309,9.5579309,59.623638,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,78.602608,0,0,0,78.602608,0,2,0,1,0,0,1.0,-0.1953,0.0,33.448536,16.663008,0.0,0.0,0.0,0.0,33.57106,0.0,0.0,1.63827,0.0,33.448536,16.663008,0.0,0.0,33.57106,0.0,0.0,41.57,0.9709506,3.321928,1.0,4.2402239,78.602608,83.237236,9.4210396,0,0,0.0,0.0,49.581036,24.524654,69.067001,15,0,20
3,"N1CCCC1","HT2322",0,14.141137,1,1,0,0,1,0,0,0,14,1,2,5,4,16.773643,1.1981174,0,0,4,0,0,9,0,1,0,0,0,2.0833333,-2.4527142,-0.39513239,0.45484367,2.6406205,-2.5886936,-0.35330725,0.48984459,2.6538255,-2.2206104,-0.29027531,0.55266589,2.9069717,10.498863,0,0.0,0,14,0,5,2,0,0.0,14,0,3.5355339,3.3284271,2.8284271,2.8284271,2.5,2.2071068,1.5,1.5,0,0,0.62386501,2,0,-0.85814965,-0.30205646,0.040151257,2.0901675,-1.1562279,-0.23132615,0.11162604,2.1058528,-0.52623183,-0.17084475,0.10575433,2.3189228,3.2,1.4400001,0.63999999,3.2,1.4400001,0.63999999,0.92159998,1,1,1,0,0.43099999,0.09014,2.2069559,0,1,5,1,1,1,0,0,0,0.40267983,-0.40267983,0.30280939,0.78466499,34.123089,0.0,8.6190128,0.0,0.0,0.0,0.0,43.787277,0.0,0.0,0.0,0.0,0.0,0.13689101,0.99842048,0.50681967,0.0015795188,0.0015795188,0.49318036,0.0,86.529381,43.924168,0.13689101,0.13689101,42.7421,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,86.666267,0,0,0,86.666267,0,2,0,1,0,0,1.0,0.3698,18.01075,0.0,0.0,36.879158,0.0,0.0,0.0,0.0,37.736813,0.0,2.2103701,0.0,0.0,18.01075,0.0,0.0,37.736813,36.879158,0.0,12.03,0.9709506,3.321928,1.0,4.2402239,86.666267,114.00383,0.0,0,0,0.0,72.216003,0.0,5.6825762,71.123001,15,0,20
4,"O(CC)CC","HT2334",0,14.50993,1,1,0,0,1,0,0,0,15,0,1,5,4,17.384077,1.1589385,0,0,4,0,0,10,0,0,1,0,0,2.1906097,-2.4882212,-0.036267851,0.055688325,2.4245961,-2.4803076,0.090948753,0.123,2.444916,-2.2452159,0.1057,0.10616669,2.6567869,12.84807,2,0.5,0,14,0,4,6,2,0.5,14,0,4.1213202,3.8224618,3.4142137,3.4142137,2.4142137,1.9915638,1.4142135,1.4142135,0,0,0.6062032,4,0,-0.81966996,-0.19943514,-0.10431167,1.8816197,-0.82849741,-0.089454167,-0.037,1.9236701,-0.52041459,-0.069632679,-0.054299999,2.084446,5.0,4.0,4.0,5.0,4.0,4.0,4.0,1,0,1,0,0.88999999,-0.3876,2.2834415,0,1,0,1,0,2,0,0,0,0.4634392,-0.4634392,0.12016317,0.82060117,55.494904,17.061544,0.0,0.0,0.0,0.0,0.0,37.495354,0.0,0.0,0.0,0.0,0.0,2.503756,0.97775537,0.35537216,0.022244625,0.022244625,0.64462787,0.0,110.0518,39.999111,2.503756,2.503756,72.55645,0.0,0.5,1.0,0,0,0,0,1,0,0,0,1,0,112.55556,0,0,0,112.55556,0,2,0,0,0,0,0.0,1.0427999,0.0,0.0,10.999887,41.852516,0.0,0.0,0.0,0.0,0.0,66.652031,2.2167001,10.999887,0.0,0.0,0.0,0.0,0.0,41.852516,66.652031,9.2299995,0.90438145,3.0,1.8464394,4.1464396,112.55556,122.27418,2.503756,0,0,0.0,102.93385,0.0,2.503756,74.123001,20,2,14
5,"OC(=O)CO","HT2339",0,8.5931721,1,1,0,0,3,0,0,0,9,3,6,5,1,13.774438,1.530493,0,0,2,0,0,4,0,0,3,0,0,2.6693285,-2.1696632,-0.60460871,0.58122373,2.26546,-2.3849208,-0.64154184,0.46397749,2.0340688,-1.9630781,-0.42291784,0.69318062,2.4541233,5.3308282,1,0.25,0,8,1,4,3,1,0.25,7,0,4.2844572,2.5097823,1.2071068,1.2844571,2.2700555,1.0975121,0.35355338,0.40824831,0,0,0.93915993,3,0,-0.76450801,-0.45150384,0.16155228,1.5728352,-0.93412578,-0.52167213,0.013537396,1.3881419,-0.48709357,-0.25831217,0.23399913,1.7577904,5.0,2.25,4.0,4.0214376,1.6858125,2.67325,1.3558779,3,2,1,0,-0.89899999,0.61615998,1.5312996,0,1,0,1,0,1,0,0,0,0.97717297,-0.97717297,0.29194239,0.39400861,0.0,8.5307722,14.951293,0.0,20.648346,14.708499,0.0,0.0,0.0,0.0,0.0,0.0,13.566921,15.535081,0.26702094,0.33092678,0.33092678,0.73297906,0.66907322,0.40205228,23.482065,29.102001,29.102001,64.458847,58.838909,35.356846,0.33333334,0.5,0,0,0,0,1,0,0,0,1,0,87.94091,0,0,0,87.94091,0,2,0,0,0,0,1.0,-0.93669999,25.385227,7.7454643,23.862217,46.311485,0.0,0.0,0.0,0.0,0.0,0.0,1.47216,23.862217,25.385227,25.385227,0.0,0.0,0.0,28.671722,0.0,57.529999,0.90438145,3.0,1.5219281,4.1971598,87.94091,80.977684,0.0,0,0,0.0,22.058474,14.708499,40.700764,76.050995,18,2,16
6,"OC(CO)C","HT2341",0,12.218344,1,1,0,0,2,0,0,0,13,2,4,5,3,17.350828,1.3346791,0,0,3,0,0,8,0,0,2,0,0,2.5395389,-2.4994161,-0.47544527,0.60839319,2.4935732,-2.5990858,-0.57227945,0.4758231,2.4260721,-2.2787199,-0.39932597,0.66776508,2.7032907,8.745656,1,0.25,0,12,0,4,5,1,0.25,12,0,4.2844572,3.1788843,2.284457,2.284457,2.2700555,1.5600252,0.98559856,0.98559856,1,1,0.7300818,3,0,-0.7988084,-0.32177269,0.11451183,1.8746544,-0.92257667,-0.41017962,-0.0087453928,1.8260105,-0.52565068,-0.2149085,0.15761356,2.0624852,5.0,2.25,4.0,5.0,2.25,4.0,2.25,2,2,1,0,-0.63599998,0.48732999,1.914418,0,1,0,1,0,1,0,0,0,0.81906581,-0.81906581,0.25622258,0.47917682,12.796158,32.652378,0.0,0.0,20.648346,0.0,0.0,18.747677,0.0,0.0,0.0,0.0,0.0,15.535081,0.63953424,0.34153098,0.15476327,0.36046579,0.65846902,0.20570253,64.196213,34.282757,15.535081,36.183426,66.096886,20.648346,0.33333334,0.5,0,0,0,0,1,0,0,0,1,0,100.37964,0,0,0,100.37964,0,2,0,0,0,0,1.0,-0.64050001,50.770454,0.0,6.4686494,20.926258,0.0,0.0,0.0,0.0,0.0,33.326015,1.87666,0.0,50.770454,0.0,6.4686494,0.0,0.0,20.926258,33.326015,40.459999,0.90438145,3.0,1.5219281,4.1971598,100.37964,104.22804,0.0,0,0,0.0,59.925442,0.0,27.133842,76.095001,18,2,16
7,"S(=O)(C)C","HT2347",0,11.222758,1,1,0,0,1,0,0,0,10,0,1,4,2,15.709506,1.5709506,0,0,2,0,0,6,0,0,1,0,1,2.3237901,-2.3309755,0.080356285,0.080356285,2.3664989,-2.4176769,0.123,0.123,2.2625725,-2.0168529,0.1057,0.1057,2.6982155,10.937242,0,0.0,0,9,0,3,4,0,0.0,9,0,3.5773504,3.6329932,2.0,2.0,1.7320508,2.9494898,0.0,0.0,0,0,0.83574855,2,0,-0.88105184,-0.095451437,-0.079643711,1.671315,-0.83276701,-0.037,-0.037,1.6084609,-0.45229715,-0.054299999,-0.054299999,1.9657699,4.0,1.3333334,0.0,6.125,2.4305553,0.0,3.7217879,1,0,1,0,-1.143,0.14881,1.9507171,0,1,0,1,0,0,0,0,0,0.67566997,-0.67566997,0.14321508,0.91512239,0.0,67.039795,0.0,0.0,0.0,0.0,0.0,0.0,13.136708,0.0,0.0,0.0,0.0,16.008261,0.83356762,0.30301026,0.16643241,0.16643241,0.69698972,0.0,80.176506,29.14497,16.008261,16.008261,67.039795,0.0,0.5,1.0,0,0,0,0,1,0,0,0,1,0,96.184761,0,0,0,96.184761,0,1,0,0,0,0,1.0,-0.0052999998,0.0,24.085844,19.549404,0.0,0.0,63.382347,0.0,0.0,0.0,0.0,1.99904,24.085844,0.0,0.0,0.0,0.0,0.0,0.0,82.931755,36.279999,0.95443398,2.5849626,1.0,3.5032582,96.184761,93.491043,16.008261,0,0,0.0,62.769024,13.136708,16.008261,78.135002,9,0,12
8,"O(C(=O)C)CC","HT2367",0,13.978344,1,1,0,0,1,0,0,0,14,0,1,6,3,19.302969,1.3787835,0,0,4,0,0,8,0,0,2,0,0,2.6925194,-2.3826804,-0.14538306,0.048543133,2.3784761,-2.4044409,-0.018891079,0.123,2.377557,-2.1574292,0.06677936,0.1057,2.6012135,11.619656,1,0.2,0,13,1,5,3,2,0.40000001,12,0,4.9915638,4.0236034,3.2071068,3.284457,2.7700555,1.9040302,1.2071068,1.2844571,0,0,0.71368051,4,0,-0.76354647,-0.29993951,-0.11145686,1.8203931,-0.84508926,-0.19152284,-0.037,1.8203104,-0.51359302,-0.10551517,-0.054299999,2.0252953,6.0,3.2,5.3333335,5.03652,2.57372,4.1069999,2.1604321,2,0,1,0,0.52600002,-0.33328,2.3673675,0,1,0,1,0,1,0,0,0,0.62194109,-0.62194109,0.41649029,0.50756878,44.339993,23.482065,0.0,0.0,0.0,14.708499,0.0,18.747677,0.0,0.0,0.0,0.0,13.566921,2.503756,0.73771232,0.29670796,0.13694781,0.26228771,0.70329207,0.12533988,86.569733,34.818356,16.070677,30.779177,82.530556,14.708499,0.5,1.0,0,0,0,0,1,0,0,0,1,0,117.34892,0,0,0,117.34892,0,2,0,0,0,0,1.0,0.56940001,0.0,7.7454643,34.862103,20.926258,0.0,0.0,0.0,0.0,0.0,66.652031,2.2307,34.862103,0.0,0.0,0.0,0.0,0.0,28.671722,66.652031,26.299999,0.85240519,3.321928,1.9086127,4.7417293,117.34892,123.453,13.566921,0,0,0.0,80.875374,17.212255,13.566921,88.105995,32,3,20
9,"OCC(=O)CO","HT2378",0,11.686758,1,1,0,0,3,0,0,0,12,2,5,6,2,18.0,1.5,0,0,3,0,0,6,0,0,3,0,0,2.8371687,-2.2987442,-0.62440747,0.56086344,2.387929,-2.5131118,-0.69028711,0.44291878,2.16418,-2.0793273,-0.44113863,0.71022695,2.5997996,7.517242,2,0.40000001,0,11,1,5,6,2,0.40000001,10,0,4.9915638,3.2168891,1.9142135,1.9915638,2.8080604,1.5436865,0.70710677,0.81649661,0,0,0.85457432,4,0,-0.77868927,-0.43609884,0.11154499,1.7788212,-0.94241989,-0.54891223,-0.0053724539,1.6033831,-0.49074006,-0.2566106,0.22196314,1.979794,6.0,3.2,3.0,5.03652,2.57372,2.3101876,2.1604321,3,2,1,0,-1.543,0.48319,2.025903,0,1,0,1,0,2,0,0,0,1.0674038,-1.0674038,0.19671005,0.36297697,0.0,17.061544,29.902586,8.458519,20.648346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.566921,15.535081,0.52696651,0.27670601,0.27670601,0.47303346,0.72329396,0.19632745,55.422649,29.102001,29.102001,49.750347,76.070992,20.648346,0.5,1.0,0,0,0,0,1,0,0,0,1,0,105.173,0,0,0,105.173,0,2,1,0,0,0,1.0,-1.4599,50.770454,5.6876111,23.862217,41.852516,0.0,0.0,0.0,0.0,0.0,0.0,1.91786,23.862217,50.770454,0.0,0.0,0.0,0.0,47.540127,0.0,57.529999,0.85240519,3.321928,1.8256052,4.7600174,105.173,105.40686,13.566921,0,0,0.0,44.116947,8.458519,40.700764,90.077995,31,4,20
10,"SC(=S)N","HT2388",0,10.660379,1,1,0,0,1,0,0,0,7,1,2,4,0,12.896597,1.842371,0,0,1,0,0,3,0,1,0,0,2,2.5914834,-2.0792139,-0.35012224,0.50431216,1.8875142,-2.4117515,-0.38248909,0.81162268,1.9168431,-1.6425362,0.0128168,0.98597622,2.4020438,6.0396209,0,0.0,0,6,1,3,2,0,0.0,5,0,3.5773504,3.6437359,0.5,0.57735026,1.7320508,1.5718679,0.0,0.0,0,0,1.0484161,2,0,-0.82075375,-0.33098465,0.13794158,1.2684131,-1.3699769,-0.4435268,0.49074852,1.4021194,-0.42377341,-0.063730001,0.63199461,1.7685378,4.0,1.3333334,0.0,6.3712635,2.5648749,0.0,4.0853734,1,2,1,0,0.23199999,-1.96691,2.3003986,0,1,0,1,0,0,0,0,0,0.4684639,-0.4684639,0.26365265,0.65518695,0.0,0.0,56.403633,0.0,0.0,0.0,0.0,10.651674,0.0,26.362989,0.0,0.0,0.0,6.6511192,0.93353492,0.43635494,0.066465057,0.066465057,0.56364506,0.0,93.418297,43.665783,6.6511192,6.6511192,56.403633,0.0,0.5,1.0,0,0,0,0,1,0,0,0,1,0,100.06942,0,0,0,100.06942,0,1,1,0,0,0,1.0,0.15979999,32.897186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.107109,45.192028,2.5773399,0.0,0.0,0.0,0.0,32.897186,0.0,0.0,91.299141,96.910004,0.95443398,2.5849626,1.0,3.5032582,100.06942,88.871201,31.384512,0,0,17.742489,0.0,42.036186,49.126999,93.174004,9,0,12
11,"O=CCCCC=O","HT2408",0,15.738344,1,0,0,1,2,0,0,0,15,0,2,7,3,20.993719,1.3995812,0,0,5,0,0,8,0,0,2,0,0,2.4793241,-2.4932859,-0.35545248,0.28374946,2.5115094,-2.4207261,-0.26442021,0.35820213,2.600353,-2.2633705,-0.17917001,0.37418184,2.7483635,10.661656,4,0.66666669,0,14,2,6,6,4,0.66666669,12,0,5.5355339,4.0925174,3.2760208,3.5355339,3.4142137,2.2879012,1.8164966,2.0,0,0,0.72339076,6,0,-0.75382578,-0.29880196,-0.030924138,1.9834284,-0.81267041,-0.23176053,0.05434373,2.0390065,-0.51607209,-0.1520938,0.053691167,2.2022643,7.0,6.0,6.0,5.184,4.1817598,3.9015,3.0968919,2,0,1,0,0.41800001,0.37875,2.8111069,0,1,0,1,0,4,0,0,0,0.6422978,-0.6422978,0.18732536,0.46868452,42.994942,0.0,45.540539,0.0,0.0,0.0,0.0,8.701313,0.0,0.0,0.0,0.0,0.0,27.133842,0.78183079,0.28813195,0.2181692,0.2181692,0.71186805,0.0,97.236794,35.835155,27.133842,27.133842,88.535484,0.0,0.5,1.0,0,0,0,0,1,0,0,0,1,0,124.37064,0,0,0,124.37064,0,3,1,0,0,0,1.0,0.55449998,0.0,0.0,88.01487,0.0,0.0,0.0,0.0,0.0,56.605217,0.0,2.5978999,47.724434,0.0,0.0,0.0,0.0,56.605217,0.0,40.29044,34.139999,0.80309099,3.5849626,2.398303,5.1689868,124.37064,138.39961,27.133842,0,0,0.0,47.425484,44.116947,27.133842,100.117,56,4,22
12,"O(N=O)CCCC","HT2423",0,15.745137,1,0,0,1,2,0,0,0,16,0,2,7,4,25.470675,1.5919172,0,0,4,0,0,9,0,1,2,0,0,2.4633985,-2.5581377,-0.1197102,0.058736697,2.5316834,-2.4764817,0.017090227,0.123,2.6379347,-2.329834,0.1057,0.23850963,2.7586465,11.392863,4,0.66666669,0,15,1,6,5,4,0.66666669,14,0,5.5355339,4.3850307,3.1213202,3.1213202,3.4142137,2.3609302,1.7071068,1.7071068,0,0,0.75520843,6,0,-0.78305531,-0.30623859,-0.10126331,2.002177,-0.80371815,-0.18979043,-0.037,2.0967021,-0.52843314,-0.054299999,0.005164268,2.2008584,7.0,6.0,6.0,5.9265862,4.9164119,4.7386937,4.1625051,3,0,1,0,1.8099999,-1.19494,2.7207048,1,1,0,1,0,4,0,0,0,0.47974515,-0.47974515,0.21288185,0.45192629,29.857702,23.482065,16.087948,0.0,0.0,0.0,0.0,8.701313,27.44899,16.965525,0.0,5.9023595,0.0,0.0,0.95404792,0.45947894,0.045952104,0.045952104,0.54052109,0.0,122.54354,59.018188,5.9023595,5.9023595,69.427711,0.0,0.5,1.0,0,0,0,0,1,0,0,0,1,0,128.44591,0,0,0,128.44591,0,3,1,0,0,0,1.0,1.4845001,0.0,0.0,11.218763,45.025127,0.0,22.438892,0.0,0.0,37.736813,33.326015,2.6654999,11.218763,22.438892,24.098869,0.0,0.0,37.736813,20.926258,33.326015,38.66,0.80309099,3.5849626,2.398303,5.1689868,128.44591,136.5464,33.053471,0,0,0.0,83.083916,5.9023595,33.053471,103.12099,56,4,22
13,"OCc1ccccc1","HT2442",0,18.456345,1,1,0,0,1,0,6,0,16,1,2,8,7,20.348516,1.2717823,0,0,7,0,0,8,0,0,1,0,0,2.1889248,-2.2986736,-0.64900392,0.69763994,2.2558029,-2.1678491,-0.53807992,0.68828928,2.4025686,-2.019145,-0.49986199,0.85431087,2.540606,8.745656,1,0.125,6,16,0,8,3,1,0.125,10,0,5.8199911,4.5410719,4.0938582,4.8199911,3.9318516,2.5804648,2.2642369,3.2247448,0,0,0.66826785,5,0,-0.78898138,-0.38949409,0.079447642,1.9876819,-0.77981281,-0.26386139,0.13864018,2.1390769,-0.49487352,-0.21605732,0.19305076,2.2759962,6.125,3.1111112,1.8,4.3645353,2.0924079,1.1498824,1.1415485,1,1,1,0,1.3839999,-1.1559,3.3845012,0,1,6,1,1,1,0,0,0,0.70999521,-0.70999521,0.29556116,0.54988587,0.0,44.808994,0.0,0.0,10.324173,0.0,0.0,2.2085397,61.274521,0.0,0.0,0.0,0.0,7.7675405,0.85685098,0.56376386,0.061459951,0.14314902,0.43623614,0.081689075,108.29205,71.250603,7.7675405,18.091713,55.133167,10.324173,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,126.38377,0,0,0,126.38377,0,3,0,1,0,0,1.0,1.4453,25.385227,0.0,0.0,0.0,3.185575,0.0,0.0,88.215919,0.0,20.926258,3.2569799,0.0,25.385227,0.0,3.185575,0.0,109.14218,0.0,0.0,20.23,0.8112781,4.0,2.0596514,5.6422834,126.38377,161.82135,0.0,0,0,0.0,103.30949,0.0,13.566921,108.14,64,7,34
14,"OCc1cccnc1","HT2450",0,17.129551,1,1,0,0,2,0,6,0,15,1,3,8,6,23.442099,1.5628066,0,0,6,0,0,7,0,1,1,0,0,2.1889248,-2.2752831,-0.65247583,0.70949054,2.2522228,-2.1692784,-0.61549526,0.65966713,2.3742003,-2.0107024,-0.5193119,0.83395809,2.5180774,8.9724493,1,0.125,6,15,0,8,3,1,0.125,9,0,5.8199911,4.4109349,3.5165079,4.112884,3.9318516,2.4301958,1.5975703,2.2247448,0,0,0.71444201,5,0,-0.7875725,-0.39001843,0.13295452,1.9350539,-0.78013074,-0.30745855,0.0517186,2.0465138,-0.49486113,-0.23217012,0.2118303,2.2083156,6.125,3.1111112,1.8,4.2847099,2.0472128,1.1215943,1.096464,2,1,1,0,0.15099999,0.10224,3.241528,0,1,6,1,1,1,0,0,0,0.75415957,-0.75415957,0.27825385,0.51761949,33.491833,40.54361,0.0,0.0,10.324173,0.0,0.0,14.463444,12.254904,0.0,0.0,0.0,5.6825762,7.7675405,0.80908489,0.32256553,0.10800871,0.19091509,0.6774345,0.082906388,100.75378,40.168465,13.450116,23.774288,84.359612,10.324173,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,124.52808,0,0,0,124.52808,0,3,0,1,0,0,1.0,0.84030002,25.385227,16.78553,0.0,0.0,3.185575,0.0,0.0,69.71508,0.0,20.926258,3.0364799,0.0,42.170757,0.0,3.185575,0.0,90.641342,0.0,0.0,33.119999,0.8112781,4.0,2.0596514,5.6422834,124.52808,152.74577,5.6825762,0,0,0.0,96.483017,0.0,19.249496,109.128,64,7,34
15,"S(=S)(O)(O)=O","HT2463",0,9.5395861,1,1,0,0,3,0,0,0,7,3,6,5,0,10.896597,1.5566567,0,0,0,0,0,2,0,0,3,0,2,3.0237157,-2.1394522,-0.65277296,0.71813232,2.1450691,-2.2477317,-0.70386142,0.73256063,2.0434732,-1.744701,-0.41977286,0.96810806,2.6101723,6.564414,0,0.0,0,6,0,4,4,0,0.0,6,0,4.5,3.7521653,0.0,0.0,2.0,3.0954452,0.0,0.0,0,0,1.3826634,2,0,-0.69298673,-0.43227518,0.18355751,1.3599912,-0.81230402,-0.54303217,0.2143396,1.2879813,-0.37933984,-0.14331809,0.42552936,1.7887956,5.0,1.0,0.0,9.375,2.2222221,0.0,4.166666,3,2,1,0,-0.25799999,-0.77375001,1.8248332,0,1,0,1,0,0,0,0,0,0.55595213,-0.55595213,0.36720383,0.32835081,0.0,0.0,13.488845,0.0,20.648346,0.0,0.0,16.008261,0.0,0.0,53.778336,0.0,0.0,0.0,0.80131263,0.67151707,0.0,0.19868739,0.32848293,0.19868739,83.275444,69.786598,0.0,20.648346,34.137192,20.648346,0.5,1.0,0,0,0,0,1,0,0,0,1,0,103.92379,0,0,0,103.92379,0,1,0,0,0,0,1.0,-1.4527,45.861504,24.085844,51.101124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9945,24.085844,45.861504,0.0,0.0,0.0,0.0,0.0,51.101124,89.620003,0.90438145,3.0,0.9709506,4.25,103.92379,82.554443,0.0,0,0,0.0,0.0,46.849419,48.024784,114.145,16,0,20
